,Date,Time,MidPrice,LastPrice,Volume,BidPrice1,BidVolume1,AskPrice1,AskVolume1
0,2018-06-01,09:30:01,3.7865,3.786,1081100.0,3.786,21500.0,3.787,12900.0
1,2018-06-01,09:30:04,3.7835,3.784,1425900.0,3.783,44200.0,3.784,119200.0
2,2018-06-01,09:30:07,3.7835,3.784,1485500.0,3.783,42700.0,3.784,61100.0
3,2018-06-01,09:30:10,3.7845,3.785,1551600.0,3.784,145900.0,3.785,16900.0
4,2018-06-01,09:30:13,3.7835,3.784,2063300.0,3.783,347700.0,3.784,200100.0
5,2018-06-01,09:30:16,3.7835,3.784,2408600.0,3.783,352600.0,3.784,70700.0
6,2018-06-01,09:30:19,3.7859999999999996,3.785,2494800.0,3.784,415000.0,3.788,5800.0
7,2018-06-01,09:30:22,3.7859999999999996,3.785,2494800.0,3.784,133200.0,3.788,85900.0
8,2018-06-01,09:30:25,3.7859999999999996,3.784,2611500.0,3.784,16500.0,3.788,85900.0
9,2018-06-01,09:30:28,3.7855,3.784,2619200.0,3.784,8800.0,3.787,80100.0
10,2018-06-01,09:30:31,3.7859999999999996,3.784,2619200.0,3.784,31800.0,3.788,85900.0
11,2018-06-01,09:30:34,3.787,3.784,2619200.0,3.786,2000.0,3.788,85900.0
12,2018-06-01,09:30:37,3.7874999999999996,3.787,2619600.0,3.787,600.0,3.788,5800.0
13,2018-06-01,09:30:40,3.7855,3.786,2622000.0,3.785,31700.0,3.786,9300.0
14,2018-06-01,09:30:43,3.7855,3.786,2622100.0,3.785,31700.0,3.786,9200.0
15,2018-06-01,09:30:46,3.7845,3.785,2660100.0,3.784,351800.0,3.785,47000.0
16,2018-06-01,09:30:49,3.7845,3.785,2662100.0,3.784,367300.0,3.785,76100.0
17,2018-06-01,09:30:52,3.7835,3.784,3039500.0,3.783,372000.0,3.784,31400.0
18,2018-06-01,09:30:55,3.784,3.785,3043500.0,3.783,371600.0,3.785,72100.0
19,2018-06-01,09:30:58,3.7835,3.784,3061200.0,3.783,371600.0,3.784,575000.0
20,2018-06-01,09:31:01,3.7835,3.784,3385400.0,3.783,68400.0,3.784,254100.0
21,2018-06-01,09:31:04,3.7845,3.785,3640300.0,3.784,349900.0,3.785,38200.0
22,2018-06-01,09:31:07,3.7845,3.785,3689000.0,3.784,310200.0,3.785,29300.0
23,2018-06-01,09:31:10,3.7845,3.785,3690400.0,3.784,310200.0,3.785,27900.0
24,2018-06-01,09:31:13,3.7845,3.784,3968800.0,3.784,36900.0,3.785,22800.0
25,2018-06-01,09:31:16,3.7855,3.785,3991600.0,3.785,13200.0,3.786,26100.0
26,2018-06-01,09:31:19,3.7855,3.785,4008800.0,3.785,6000.0,3.786,18600.0
27,2018-06-01,09:31:22,3.785,3.784,4028300.0,3.784,382900.0,3.786,18600.0
28,2018-06-01,09:31:25,3.7855,3.786,4033800.0,3.785,302800.0,3.786,13600.0
29,2018-06-01,09:31:28,3.7845,3.785,4048000.0,3.784,383900.0,3.785,239200.0
30,2018-06-01,09:31:31,3.7855,3.785,4294000.0,3.785,500.0,3.786,13600.0
